dataset,method,metric,author,ours,delta
BUPA,UFCE3,Actionability,13.0,0.0,-13.0
BUPA,UFCE3,Plausibility,13.0,0.2,-12.8
BUPA,UFCE3,Feasibility,13.0,0.0,-13.0
BUPA,DiCE,Prox-Jac,,,
BUPA,DiCE,Prox-Euc,51.45,,
BUPA,DiCE,Sparsity,4.5,,
BUPA,DiCE,Actionability,1.0,,
BUPA,DiCE,Plausibility,1.0,,
BUPA,DiCE,Feasibility,1.0,,
BUPA,AR,Prox-Jac,,,
BUPA,AR,Prox-Euc,40.65,,
BUPA,AR,Sparsity,4.2,,
BUPA,AR,Actionability,9.0,,
BUPA,AR,Plausibility,15.0,,
BUPA,AR,Feasibility,9.0,,
Movie,UFCE1,Prox-Jac,0.0,,
Movie,UFCE1,Prox-Euc,20.0,,
Movie,UFCE1,Sparsity,1.0,,
Movie,UFCE1,Actionability,20.0,0.0,-20.0
Movie,UFCE1,Plausibility,8.0,0.0,-8.0
Movie,UFCE1,Feasibility,8.0,0.0,-8.0
Movie,UFCE2,Prox-Jac,0.0,,
Movie,UFCE2,Prox-Euc,32.0,,
Movie,UFCE2,Sparsity,2.0,,
Movie,UFCE2,Actionability,14.0,0.0,-14.0
Movie,UFCE2,Plausibility,14.0,0.0,-14.0
Movie,UFCE2,Feasibility,14.0,0.0,-14.0
Movie,UFCE3,Prox-Jac,0.0,,
Movie,UFCE3,Prox-Euc,43.0,,
Movie,UFCE3,Sparsity,3.0,,
Movie,UFCE3,Actionability,18.0,0.0,-18.0
Movie,UFCE3,Plausibility,18.0,0.0,-18.0
Movie,UFCE3,Feasibility,18.0,0.0,-18.0
Movie,DiCE,Prox-Jac,0.55,,
Movie,DiCE,Prox-Euc,78.0,,
Movie,DiCE,Sparsity,10.0,,
Movie,DiCE,Actionability,5.0,,
Movie,DiCE,Plausibility,19.0,,
Movie,DiCE,Feasibility,5.0,,
Movie,AR,Prox-Jac,0.45,,
Movie,AR,Prox-Euc,80.0,,
Movie,AR,Sparsity,9.0,,
Movie,AR,Actionability,8.0,,
Movie,AR,Plausibility,19.0,,
Movie,AR,Feasibility,8.0,,
